StudentID,FirstName,LastName,Birthday,EmContactPhone
70,Henry,Phillips,08/29/56 9:20,1-441-186-9681
71,Sandra,Golden,06/18/41 3:03,1-355-218-0361
72,Xantha,Chambers,10/20/49 6:13,1-235-960-6566
73,Stephanie,Howe,07/22/82 7:31,1-271-213-0840
74,Amethyst,Becker,01/18/48 0:31,1-979-478-2707
75,Brett,Mcgowan,11/17/11 10:30,1-886-219-1197
76,Erasmus,Hull,03/22/06 6:11,1-356-580-0148
77,Kay,Golden,05/31/46 10:02,1-274-826-2112
78,Lane,Stokes,04/09/94 6:18,1-703-620-7890
79,Simon,Klein,05/06/62 5:34,1-350-269-8034
80,Hayden,Wallace,03/13/69 23:19,1-249-570-9873
81,Kasper,Kirkland,03/18/75 11:47,1-119-755-8803
82,Addison,Duke,05/16/49 21:44,1-751-360-9534
83,Justin,Harding,06/12/71 0:56,1-213-829-6986
84,Mikayla,Mayer,04/27/11 18:32,1-128-609-3113
85,Calvin,Rojas,12/23/69 20:24,1-521-532-7707
86,Basia,Thornton,03/04/93 21:16,1-423-805-5734
87,TaShya,Mills,07/17/84 21:06,1-707-619-8461
88,Quyn,Frank,11/15/99 22:29,1-405-958-6858
89,Patience,Nixon,08/01/64 6:52,1-808-290-8487
90,Cassady,Dejesus,01/20/55 20:59,1-406-105-7365
91,Ori,Velasquez,11/03/05 5:09,1-753-419-3581
92,Bertha,Witt,08/21/01 7:03,1-280-427-7568
93,Aquila,Stanton,06/16/93 4:39,1-415-143-0059
94,Naomi,Stevens,03/31/76 22:35,1-252-372-5975
95,Sloane,Diaz,12/27/00 6:48,1-443-957-7849
96,Daniel,Chapman,05/20/43 20:35,1-151-290-5797
97,Lacy,Knight,11/27/80 23:54,1-910-139-5983
98,Erasmus,Wooten,03/21/06 3:09,1-236-436-6766
99,Edward,Scott,09/12/92 23:39,1-480-695-9097
100,Leslie,Roberts,12/19/60 23:22,1-148-880-6256
